GAME_ID,GAME_DATE,SEASON_ID,GAME_DATE_EST,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID
22500213,,,2025-11-12,7:00 pm ET,1610612766.0,1610612749.0
22500214,,,2025-11-12,7:00 pm ET,1610612765.0,1610612741.0
22500215,,,2025-11-12,7:00 pm ET,1610612752.0,1610612753.0
22500216,,,2025-11-12,7:30 pm ET,1610612738.0,1610612763.0
22500217,,,2025-11-12,7:30 pm ET,1610612748.0,1610612739.0
22500218,,,2025-11-12,8:00 pm ET,1610612745.0,1610612764.0
22500219,,,2025-11-12,8:00 pm ET,1610612740.0,1610612757.0
22500220,,,2025-11-12,8:00 pm ET,1610612759.0,1610612744.0
22500221,,,2025-11-12,8:30 pm ET,1610612742.0,1610612756.0
22500222,,,2025-11-12,9:30 pm ET,1610612760.0,1610612747.0
22500223,,,2025-11-12,10:00 pm ET,1610612758.0,1610612737.0
22500224,,,2025-11-12,10:30 pm ET,1610612746.0,1610612743.0
22500225,,,2025-11-13,7:00 pm ET,1610612739.0,1610612761.0
22500226,,,2025-11-13,9:00 pm ET,1610612756.0,1610612754.0
22500227,,,2025-11-13,9:00 pm ET,1610612762.0,1610612737.0
22500039,,,2025-11-14,7:00 pm ET,1610612752.0,1610612748.0
22500040,,,2025-11-14,7:00 pm ET,1610612753.0,1610612751.0
22500041,,,2025-11-14,7:30 pm ET,1610612765.0,1610612755.0
22500042,,,2025-11-14,8:00 pm ET,1610612745.0,1610612757.0
22500043,,,2025-11-14,8:00 pm ET,1610612749.0,1610612766.0
22500044,,,2025-11-14,8:00 pm ET,1610612750.0,1610612758.0
22500045,,,2025-11-14,8:00 pm ET,1610612740.0,1610612747.0
22500046,,,2025-11-14,8:30 pm ET,1610612742.0,1610612746.0
22500047,,,2025-11-14,9:30 pm ET,1610612759.0,1610612744.0
22500228,,,2025-11-15,5:00 pm ET,1610612739.0,1610612763.0
22500229,,,2025-11-15,7:00 pm ET,1610612766.0,1610612760.0
22500230,,,2025-11-15,7:00 pm ET,1610612754.0,1610612761.0
22500231,,,2025-11-15,8:00 pm ET,1610612749.0,1610612747.0
22500232,,,2025-11-15,8:00 pm ET,1610612750.0,1610612743.0
22500233,,,2025-11-16,3:30 pm ET,1610612738.0,1610612746.0
22500234,,,2025-11-16,4:00 pm ET,1610612759.0,1610612758.0
22500235,,,2025-11-16,6:00 pm ET,1610612764.0,1610612751.0
22500236,,,2025-11-16,7:00 pm ET,1610612745.0,1610612753.0
22500237,,,2025-11-16,7:00 pm ET,1610612740.0,1610612744.0
22500238,,,2025-11-16,7:30 pm ET,1610612742.0,1610612757.0
22500239,,,2025-11-16,8:00 pm ET,1610612756.0,1610612737.0
22500240,,,2025-11-16,8:00 pm ET,1610612762.0,1610612741.0
22500241,,,2025-11-17,7:00 pm ET,1610612739.0,1610612749.0
22500242,,,2025-11-17,7:00 pm ET,1610612765.0,1610612754.0
22500243,,,2025-11-17,7:00 pm ET,1610612755.0,1610612746.0
22500244,,,2025-11-17,7:30 pm ET,1610612748.0,1610612752.0
22500245,,,2025-11-17,7:30 pm ET,1610612761.0,1610612766.0
22500246,,,2025-11-17,8:00 pm ET,1610612750.0,1610612742.0
22500247,,,2025-11-17,8:00 pm ET,1610612740.0,1610612760.0
22500248,,,2025-11-17,9:00 pm ET,1610612743.0,1610612741.0
22500249,,,2025-11-18,7:00 pm ET,1610612753.0,1610612744.0
22500250,,,2025-11-18,7:30 pm ET,1610612751.0,1610612738.0
22500251,,,2025-11-18,8:00 pm ET,1610612737.0,1610612765.0
22500252,,,2025-11-18,8:00 pm ET,1610612759.0,1610612763.0
22500253,,,2025-11-18,10:30 pm ET,1610612747.0,1610612762.0
22500254,,,2025-11-18,11:00 pm ET,1610612757.0,1610612756.0
22500255,,,2025-11-19,7:00 pm ET,1610612739.0,1610612745.0
22500256,,,2025-11-19,7:00 pm ET,1610612754.0,1610612766.0
22500257,,,2025-11-19,7:00 pm ET,1610612748.0,1610612744.0
22500258,,,2025-11-19,7:00 pm ET,1610612755.0,1610612761.0
22500259,,,2025-11-19,8:00 pm ET,1610612750.0,1610612764.0
22500260,,,2025-11-19,8:00 pm ET,1610612740.0,1610612743.0
22500261,,,2025-11-19,8:00 pm ET,1610612760.0,1610612758.0
22500262,,,2025-11-19,9:30 pm ET,1610612742.0,1610612752.0
22500263,,,2025-11-19,10:00 pm ET,1610612757.0,1610612741.0
22500264,,,2025-11-20,7:00 pm ET,1610612753.0,1610612746.0
22500265,,,2025-11-20,8:00 pm ET,1610612763.0,1610612758.0
22500266,,,2025-11-20,8:00 pm ET,1610612749.0,1610612755.0
22500267,,,2025-11-20,8:00 pm ET,1610612759.0,1610612737.0
22500048,,,2025-11-21,7:00 pm ET,1610612739.0,1610612754.0
22500049,,,2025-11-21,7:30 pm ET,1610612738.0,1610612751.0
22500050,,,2025-11-21,7:30 pm ET,1610612761.0,1610612764.0
22500051,,,2025-11-21,8:00 pm ET,1610612741.0,1610612748.0
22500052,,,2025-11-21,8:30 pm ET,1610612742.0,1610612740.0
22500053,,,2025-11-21,9:00 pm ET,1610612756.0,1610612750.0
22500054,,,2025-11-21,9:30 pm ET,1610612745.0,1610612743.0
22500055,,,2025-11-21,10:00 pm ET,1610612762.0,1610612760.0
22500056,,,2025-11-21,10:00 pm ET,1610612744.0,1610612757.0
22500268,,,2025-11-22,1:00 pm ET,1610612766.0,1610612746.0
22500269,,,2025-11-22,5:00 pm ET,1610612753.0,1610612752.0
22500270,,,2025-11-22,7:00 pm ET,1610612740.0,1610612737.0
22500271,,,2025-11-22,8:00 pm ET,1610612741.0,1610612764.0
22500272,,,2025-11-22,8:00 pm ET,1610612749.0,1610612765.0
22500273,,,2025-11-22,8:30 pm ET,1610612742.0,1610612763.0
22500274,,,2025-11-22,10:00 pm ET,1610612743.0,1610612758.0
22500275,,,2025-11-23,1:00 pm ET,1610612755.0,1610612748.0
22500276,,,2025-11-23,6:00 pm ET,1610612737.0,1610612766.0
22500277,,,2025-11-23,6:00 pm ET,1610612738.0,1610612753.0
22500278,,,2025-11-23,6:00 pm ET,1610612739.0,1610612746.0
22500279,,,2025-11-23,6:00 pm ET,1610612761.0,1610612751.0
22500280,,,2025-11-23,7:00 pm ET,1610612760.0,1610612757.0
22500281,,,2025-11-23,8:00 pm ET,1610612756.0,1610612759.0
22500282,,,2025-11-23,8:00 pm ET,1610612762.0,1610612747.0
22500283,,,2025-11-24,7:00 pm ET,1610612754.0,1610612765.0
22500284,,,2025-11-24,7:00 pm ET,1610612761.0,1610612739.0
22500285,,,2025-11-24,7:30 pm ET,1610612751.0,1610612752.0
22500286,,,2025-11-24,7:30 pm ET,1610612748.0,1610612742.0
22500287,,,2025-11-24,8:00 pm ET,1610612763.0,1610612743.0
22500288,,,2025-11-24,8:00 pm ET,1610612749.0,1610612757.0
22500289,,,2025-11-24,8:00 pm ET,1610612740.0,1610612741.0
22500290,,,2025-11-24,9:30 pm ET,1610612756.0,1610612745.0
22500291,,,2025-11-24,10:00 pm ET,1610612744.0,1610612762.0
22500292,,,2025-11-24,10:00 pm ET,1610612758.0,1610612750.0
